abbreviation,band,chebl_id,chromosome,description,ensembl_gene,ensembl_trans,entrez_id,gend,gene_number,gene_type,genecards,genes_id,goTermAccession,goTermDefinition,goTermName,gstart,humanProteomeAtlasAB,lastModified,mimAccession,mimDescription,modifiedBy,strand,symbol,tend,tstart,ucsc,uniprot_gname,url,wikigene
,,CHEMBL3437,17,"amine oxidase, copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]",ENSG00000131471,ENST00000308423,8639,42858130,8639.1,,,1,,,,42851184,,2015-06-09T13:57:55Z,,,,,AOC3,42858124,42851184,,AOC3,http://vmh.uni.lu/_api/genes/1/?format=pcsv,
,,CHEMBL2118,7,"amine oxidase, copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]",ENSG00000002726,ENST00000493429,26,150861504,26.1,,,2,,,,150824627,,2015-06-09T13:57:55Z,,,,,AOC1,150861504,150824627,,AOC1,http://vmh.uni.lu/_api/genes/2/?format=pcsv,
,,CHEMBL4112,17,"amine oxidase, copper containing 2 (retina-specific) [Source:HGNC Symbol;Acc:HGNC:549]",ENSG00000131480,ENST00000253799,314,42850707,314.2,,,3,,,,42844600,,2015-06-09T13:57:55Z,,,,,AOC2,42850707,42844600,,AOC2,http://vmh.uni.lu/_api/genes/3/?format=pcsv,
,,CHEMBL4112,17,"amine oxidase, copper containing 2 (retina-specific) [Source:HGNC Symbol;Acc:HGNC:549]",ENSG00000131480,ENST00000253799,314,42850707,314.1,,,4,,,,42844600,,2015-06-09T13:57:55Z,,,,,AOC2,42850707,42844600,,AOC2,http://vmh.uni.lu/_api/genes/4/?format=pcsv,
,,CHEMBL4521,20,"cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:2602]",ENSG00000019186,ENST00000216862,1591,54173973,1591.1,,,5,,,,54153449,,2015-06-09T13:57:55Z,,,,,CYP24A1,54173973,54153449,,CYP24A1,http://vmh.uni.lu/_api/genes/5/?format=pcsv,
,,CHEMBL2259,4,group-specific component (vitamin D binding protein) [Source:HGNC Symbol;Acc:HGNC:4187],ENSG00000145321,ENST00000273951,2638,71804041,2638.1,,,6,,,,71741693,,2015-06-09T13:57:55Z,,,,,GC,71784362,71741693,,GC,http://vmh.uni.lu/_api/genes/6/?format=pcsv,
,,,2,low density lipoprotein receptor-related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694],ENSG00000081479,ENST00000263816,4036,169362685,4036.1,,,7,,,,169127109,,2015-06-09T13:57:55Z,,,,,LRP2,169362685,169127109,,LRP2,http://vmh.uni.lu/_api/genes/7/?format=pcsv,
CUBN,,,10,cubilin (intrinsic factor-cobalamin receptor) [Source:HGNC Symbol;Acc:HGNC:2548],ENSG00000107611,ENST00000377833,8029,17129831,8029.1,,,8,,,,16823964,,2015-07-01T19:32:57Z,,,,,CUBN,17129831,16823964,,CUBN,http://vmh.uni.lu/_api/genes/8/?format=pcsv,
,,CHEMBL5993,12,"cytochrome P450, family 27, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:2606]",ENSG00000111012,ENST00000228606,1594,57768986,1594.1,,,9,,,,57762334,,2015-06-09T13:57:55Z,,,,,CYP27B1,57767251,57762339,,CYP27B1,http://vmh.uni.lu/_api/genes/9/?format=pcsv,
,,,12,serine dehydratase [Source:HGNC Symbol;Acc:HGNC:10691],ENSG00000135094,ENST00000257549,10993,113426301,10993.1,,,10,,,,113392445,,2015-06-09T13:57:55Z,,,,,SDS,113403888,113392445,,SDS,http://vmh.uni.lu/_api/genes/10/?format=pcsv,
